ERV
English Revised Version
Genesis 1:1	In the beginning God created the heaven and the earth.
Deuteronomy 17:10	and thou shalt do according to the tenor of the sentence, which they shall shew thee from that place which the LORD shall choose; and thou shalt observe to do according to all that they shall teach thee:
Deuteronomy 17:11	according to the tenor of the law which they shall teach thee, and according to the judgment which they shall tell thee, thou shalt do: thou shalt not turn aside from the sentence which they shall shew thee, to the right hand, nor to the left.
Deuteronomy 17:12	And the man that doeth presumptuously, in not hearkening unto the priest that standeth to minister there before the LORD thy God, or unto the judge, even that man shall die: and thou shalt put away the evil from Israel.
Deuteronomy 17:13	And all the people shall hear, and fear, and do no more presumptuously.
Deuteronomy 17:14	When thou art come unto the land which the LORD thy God giveth thee, and shalt possess it, and shalt dwell therein; and shalt say, I will set a king over me, like as all the nations that are round about me;
Deuteronomy 17:15	thou shalt in any wise set him king over thee, whom the LORD thy God shall choose: one from among thy brethren shalt thou set king over thee: thou mayest not put a foreigner over thee, which is not thy brother.
Deuteronomy 17:16	Only he shall not multiply horses to himself, nor cause the people to return to Egypt, to the end that he should multiply horses: forasmuch as the LORD hath said unto you, Ye shall henceforth return no more that way.
Deuteronomy 17:17	Neither shall he multiply wives to himself, that his heart turn not away: neither shall he greatly multiply to himself silver and gold.
Deuteronomy 17:18	And it shall be, when he sitteth upon the throne of his kingdom, that he shall write him a copy of this law in a book, out of that which is before the priests the Levites:
Deuteronomy 17:19	and it shall be with him, and he shall read therein all the days of his life: that he may learn to fear the LORD his God, to keep all the words of this law and these statutes, to do them:
Deuteronomy 17:20	that his heart be not lifted up above his brethren, and that he turn not aside from the commandment, to the right hand, or to the left: to the end that he may prolong his days in his kingdom, he and his children, in the midst of Israel.
Deuteronomy 18:1	The priests the Levites, even all the tribe of Levi, shall have no portion nor inheritance with Israel: they shall eat the offerings of the LORD made by fire, and his inheritance.
Deuteronomy 18:2	And they shall have no inheritance among their brethren: the LORD is their inheritance, as he hath spoken unto them.
Deuteronomy 18:3	And this shall be the priests’ due from the people, from them that offer a sacrifice, whether it be ox or sheep, that they shall give unto the priest the shoulder, and the two cheeks, and the maw.
Deuteronomy 18:4	The firstfruits of thy corn, of thy wine, and of thine oil, and the first of the fleece of thy sheep, shalt thou give him.
Deuteronomy 18:5	For the LORD thy God hath chosen him out of all thy tribes, to stand to minister in the name of the LORD, him and his sons for ever.
Deuteronomy 18:6	And if a Levite come from any of thy gates out of all Israel, where he sojourneth, and come with all the desire of his soul unto the place which the LORD shall choose;
Deuteronomy 18:7	then he shall minister in the name of the LORD his God, as all his brethren the Levites do, which stand there before the LORD.
Deuteronomy 18:8	They shall have like portions to eat, beside that which cometh of the sale of his patrimony.
Deuteronomy 18:9	When thou art come into the land which the LORD thy God giveth thee, thou shalt not learn to do after the abominations of those nations.
Deuteronomy 18:10	There shall not be found with thee any one that maketh his son or his daughter to pass through the fire, one that useth divination, one that practiseth augury, or an enchanter, or a sorcerer,
Deuteronomy 18:11	or a charmer, or a consulter with a familiar spirit, or a wizard, or a necromancer.
Deuteronomy 18:12	For whosoever doeth these things is an abomination unto the LORD: and because of these abominations the LORD thy God doth drive them out from before thee.
Deuteronomy 18:13	Thou shalt be perfect with the LORD thy God.
Deuteronomy 18:14	For these nations, which thou shalt possess, hearken unto them that practise augury, and unto diviners: but as for thee, the LORD thy God hath not suffered thee so to do.
Deuteronomy 18:15	The LORD thy God will raise up unto thee a prophet from the midst of thee, of thy brethren, like unto me; unto him ye shall hearken;
Deuteronomy 18:16	according to all that thou desiredst of the LORD thy God in Horeb in the day of the assembly, saying, Let me not hear again the voice of the LORD my God, neither let me see this great fire any more, that I die not.
Deuteronomy 18:17	And the LORD said unto me, They have well said that which they have spoken.
Deuteronomy 18:18	I will raise them up a prophet from among their brethren, like unto thee; and I will put my words in his mouth, and he shall speak unto them all that I shall command him.
Deuteronomy 18:19	And it shall come to pass, that whosoever will not hearken unto my words which he shall speak in my name, I will require it of him.
Deuteronomy 18:20	But the prophet, which shall speak a word presumptuously in my name, which I have not commanded him to speak, or that shall speak in the name of other gods, that same prophet shall die.
Deuteronomy 18:21	And if thou say in thine heart, How shall we know the word which the LORD hath not spoken?
Deuteronomy 18:22	when a prophet speaketh in the name of the LORD, if the thing follow not, nor come to pass, that is the thing which the LORD hath not spoken: the prophet hath spoken it presumptuously, thou shalt not be afraid of him.
Deuteronomy 19:1	When the LORD thy God shall cut off the nations, whose land the LORD thy God giveth thee, and thou succeedest them, and dwellest in their cities, and in their houses;
Deuteronomy 19:2	thou shalt separate three cities for thee in the midst of thy land, which the LORD thy God giveth thee to possess it.
Deuteronomy 19:3	Thou shalt prepare thee the way, and divide the borders of thy land, which the LORD thy God causeth thee to inherit, into three parts, that every manslayer may flee thither.
Deuteronomy 19:4	And this is the case of the manslayer, which shall flee thither and live: whoso killeth his neighbour unawares, and hated him not in time past;
Deuteronomy 19:5	as when a man goeth into the forest with his neighbour to hew wood, and his hand fetcheth a stroke with the axe to cut down the tree, and the head slippeth from the helve, and lighteth upon his neighbour, that he die; he shall flee unto one of these cities and live:
Deuteronomy 19:6	lest the avenger of blood pursue the manslayer, while his heart is hot, and overtake him, because the way is long, and smite him mortally; whereas he was not worthy of death, inasmuch as he hated him not in time past.
Deuteronomy 19:7	Wherefore I command thee, saying, Thou shalt separate three cities for thee.
Deuteronomy 19:8	And if the LORD thy God enlarge thy border, as he hath sworn unto thy fathers, and give thee all the land which he promised to give unto thy fathers;
Deuteronomy 19:9	if thou shalt keep all this commandment to do it, which I command thee this day, to love the LORD thy God, and to walk ever in his ways; then shalt thou add three cities more for thee, beside these three:
Deuteronomy 19:10	that innocent blood be not shed in the midst of thy land, which the LORD thy God giveth thee for an inheritance, and so blood be upon thee.
Deuteronomy 19:11	But if any man hate his neighbour, and lie in wait for him, and rise up against him, and smite him mortally that he die; and he flee into one of these cities:
Deuteronomy 19:12	then the elders of his city shall send and fetch him thence, and deliver him into the hand of the avenger of blood, that he may die.
Deuteronomy 19:13	Thine eye shall not pity him, but thou shalt put away the innocent blood from Israel, that it may go well with thee.
Deuteronomy 19:14	Thou shalt not remove thy neighbour’s landmark, which they of old time have set, in thine inheritance which thou shalt inherit, in the land that the LORD thy God giveth thee to possess it.
Deuteronomy 19:15	One witness shall not rise up against a man for any iniquity, or for any sin, in any sin that he sinneth: at the mouth of two witnesses, or at the mouth of three witnesses, shall a matter be established.
